Implementation,Timestamp,Load_Level,Prometheus_Success,Gatling_Total,Gatling_Success,Gatling_Failed,Error_Rate_%,Prom_Gatling_Delta_%,GC_Time_ms,GC_Collections,Heap_Peak_GB,Heap_Peak_%,CPU_Peak_%,Sync_Status,Error_Status,P50_ms,P75_ms,P95_ms,P99_ms,Min_ms,Mean_ms,Max_ms,StdDev_ms,Req_Per_Sec,Under_800ms,Under_800ms_%,Between_800_1200ms,Between_800_1200ms_%,Over_1200ms,Over_1200ms_%

java,20251214-190433,100,30079,30000,30000,0,0,.200,0,0,0.91,15.00,40.02,GOOD,EXCELLENT,2,2,3,4,0,2,94,2,100.0,30000,100,0,0,0,0
java,20251214-191854,100,30078,30000,30000,0,0,.200,0,0,1.58,26.00,41.77,GOOD,EXCELLENT,2,2,2,4,0,2,100,1,100,30000,0,0,100,0,0
java,20251214-193046,100,30077,30000,30000,0,0,.200,34.000,2,1.00,16.00,54.30,GOOD,EXCELLENT,2,2,2,4,0,2,243,4,100.0,30000,100,0,0,0,0
java,20251214-194243,100,30077,30000,30000,0,0,.200,32.000,2,1.00,16.00,43.39,GOOD,EXCELLENT,2,2,2,4,0,2,116,2,100.0,30000,100,0,0,0,0
java,20251214-195532,100,30077,30000,30000,0,0,.200,0,0,0.91,15.00,35.23,GOOD,EXCELLENT,2,2,2,4,0,2,116,2,100.0,30000,100,0,0,0,0
java,20251214-200744,100,30077,30000,30000,0,0,.200,0,0,0.98,16.00,46.81,GOOD,EXCELLENT,2,2,3,4,0,2,105,2,100.0,30000,100,0,0,0,0

clojure-idiomatic,20251215-061225,100,30077,30000,30000,0,0,.200,34.000,2,1.45,24.00,34.58,GOOD,EXCELLENT,2,2,3,4,0,2,108,2,100.0,30000,100,0,0,0,0
clojure-idiomatic,20251215-062423,100,30077,30000,30000,0,0,.200,32.000,2,1.00,16.00,50.32,GOOD,EXCELLENT,2,2,2,4,0,2,242,3,100.0,30000,100,0,0,0,0
clojure-idiomatic,20251215-063634,100,30077,30000,30000,0,0,.200,0,0,1.39,23.00,41.72,GOOD,EXCELLENT,2,2,3,4,0,2,114,2,100.0,30000,100,0,0,0,0
clojure-idiomatic,20251215-064849,100,30077,30000,30000,0,0,.200,0,0,1.14,19.00,40.04,GOOD,EXCELLENT,2,2,3,4,0,2,110,2,100.0,30000,100,0,0,0,0
clojure-idiomatic,20251215-070208,100,30077,30000,30000,0,0,.200,0,0,1.27,21.00,38.98,GOOD,EXCELLENT,2,2,3,4,0,2,116,2,100,30000,100,0,0,0,0
clojure-idiomatic,20251215-071423,100,30077,30000,30000,0,0,.200,45.000,3,1.30,21.00,41.58,GOOD,EXCELLENT,2,2,2,4,0,2,266,4,100.0,30000,100,0,0,0,0

clojure-interop-java,20251215-120049,100,30077,30000,30000,0,0,.200,0,0,1.56,26.00,42.12,GOOD,EXCELLENT,2,2,3,4,0,2,76,1,100.0,30000,100,0,0,0,0
clojure-interop-java,20251215-121312,100,30078,30000,30000,0,0,.200,0,0,0.85,14.00,46.98,GOOD,EXCELLENT,2,2,3,4,0,2,81,1,100.0,30000,100,0,0,0,0
clojure-interop-java,20251215-122656,100,30077,30000,30000,0,0,.200,36.000,2,0.96,16.00,54.55,GOOD,EXCELLENT,2,2,3,4,0,2,93,1,100,30000,100,0,0,0,0
clojure-interop-java,20251215-123954,100,30077,30000,30000,0,0,.200,0,0,0.79,13.00,32.22,GOOD,EXCELLENT,2,2,3,4,0,2,123,2,100.0,30000,100,0,0,0,0
clojure-interop-java,20251215-125414,100,30079,30000,30000,0,0,.200,41.000,2,1.03,17.00,45.06,GOOD,EXCELLENT,2,2,2,4,0,2,328,6,100,30000,100,0,0,0,0
clojure-interop-java,20251215-130814,100,30078,30000,30000,0,0,.200,29.000,2,1.03,17.00,38.07,GOOD,EXCELLENT,2,2,2,4,0,2,91,1,100.0,30000,100,0,0,0,0



java,20251216-062737,500,150078,150000,150000,0,0,0,143.000,5,2.35,39.00,86.23,EXCELLENT,EXCELLENT,1,1,1036,3100,0,138,9407,594,500.0,140937,94,2188,1,6875,5
java,20251216-064021,500,150080,150000,150000,0,0,0,232.000,5,2.35,39.00,66.07,EXCELLENT,EXCELLENT,1,1,3,1725,0,54,5586,329,500.0,146256,98,1118,1,2626,2
java,20251216-065803,500,150078,150000,150000,0,0,0,0,0,2.34,39.00,63.75,EXCELLENT,EXCELLENT,1,1,2,909,0,26,3803,183,500.0,148250,99,741,0,1009,1
java,20251216-071045,500,150078,150000,150000,0,0,0,0,0,2.37,39.00,80.15,EXCELLENT,EXCELLENT,1,1,4696,7695,0,488,14660,1595,500.0,134104,89,622,0,15274,10
java,20251216-072329,500,150079,150000,150000,0,0,0,0,0,2.27,37.00,67.21,EXCELLENT,EXCELLENT,1,1,2,841,0,26,4304,177,500.0,148334,99,892,1,774,1
java,20251216-073601,500,150082,150000,150000,0,0,0,102.000,5,2.27,37.00,65.75,EXCELLENT,EXCELLENT,1,1,3,1191,0,36,6301,248,500.0,147524,98,1016,1,1460,1

